	ggal_miRb21_bbmap_1	ggal_miRb21_bbmap_10	ggal_miRb21_bbmap_11	ggal_miRb21_bbmap_12	ggal_miRb21_bbmap_2	ggal_miRb21_bbmap_3	ggal_miRb21_bbmap_4	ggal_miRb21_bbmap_5	ggal_miRb21_bbmap_6	ggal_miRb21_bbmap_7	ggal_miRb21_bbmap_8	ggal_miRb21_bbmap_9
gga-miR-7445	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1605	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1712	0	0	0	0	1	1	3	0	0	0	1	0
gga-miR-6709	0	0	0	4	0	0	0	0	0	0	0	0
gga-miR-1684b	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7457	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1659	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1782	2	1	3	15	3	2	7	7	0	0	2	0
gga-miR-1c	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1700	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1728	0	1	0	0	0	0	0	1	0	0	0	0
gga-miR-3533	4	0	1	0	4	6	2	0	1	6	3	0
gga-miR-3607	6	0	0	1	9	9	5	1	1	3	1	1
gga-miR-1777	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1747	0	0	0	65	20	15	8	14	0	1	8	12
gga-miR-18a	10	2	13	5	12	11	11	5	4	1	8	3
gga-miR-1762	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6585	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1559	1913	727	2025	4465	2815	2815	4300	2756	1674	778	1857	2241
gga-miR-140	466	169	626	1108	707	859	527	582	460	109	500	484
gga-miR-1609	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1679	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6685	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6579	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6571	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6550	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-190a	1123	252	1219	547	1388	2344	1333	1243	371	601	769	1135
gga-miR-7472	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-16c	0	0	0	0	1	0	0	0	0	0	0	0
gga-miR-1558	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6576	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-460a	39	14	16	39	25	14	20	43	151	8	49	55
gga-miR-7475	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1552	47	34	97	88	96	146	97	52	25	24	73	75
gga-miR-551	1	1	3	18	5	4	5	11	3	0	0	2
gga-miR-1667	1	0	0	0	0	0	0	1	1	0	2	1
gga-miR-1682	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6578	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1742	0	0	0	0	0	1	0	0	0	0	0	0
gga-miR-4732	2	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6626	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6611	0	0	0	0	1	1	0	0	0	0	0	0
gga-miR-1702	0	0	0	0	0	2	0	0	0	0	0	0
gga-miR-1670	1	0	0	1	0	0	0	0	0	0	0	0
gga-miR-1467	0	0	2	3	1	3	2	1	0	0	3	1
gga-miR-1720	112	67	144	551	132	388	110	102	21	50	223	317
gga-miR-2130	0	0	0	3	0	0	0	0	0	0	2	0
gga-miR-3529	19	9	9	7	28	33	18	39	10	7	9	10
gga-miR-6692	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1462	0	0	0	1	1	0	1	0	0	0	0	0
gga-miR-1795	0	0	0	1	0	0	0	0	0	0	0	0
gga-miR-31	0	0	0	0	0	0	0	0	0	0	2	0
gga-miR-1639	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-194	7	1	2	22	3	7	11	11	12	1	1	3
gga-miR-6587	0	0	0	0	0	0	0	0	0	0	0	0
gga-let-7d	769	226	1175	2678	1458	2724	949	1621	344	237	969	1033
gga-miR-101-2	504	138	385	314	585	530	386	381	229	167	496	420
gga-miR-6582	9	4	10	13	22	10	12	15	13	2	14	10
gga-miR-30e	11571	7941	12883	12513	13668	16142	15527	10815	6475	4373	13651	8969
gga-miR-6543	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1571	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-302b	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-155	175	242	1221	1181	697	661	1981	567	106	279	139	409
gga-miR-205b	1	0	0	0	0	2	0	0	0	0	0	0
gga-miR-1580	0	0	0	0	0	3	0	1	0	0	0	0
gga-miR-1638	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-15c	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1663	1	8	31	23	0	24	0	30	11	3	11	22
gga-miR-1596	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1626	0	0	0	0	0	0	0	0	0	0	0	1
gga-miR-1588	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-19a	3	2	2	0	3	0	3	2	1	1	0	1
gga-miR-1788	0	0	0	0	0	0	1	0	0	0	0	0
gga-miR-6555	3	1	11	44	8	12	8	10	3	1	6	7
gga-miR-7441	0	0	1	15	1	3	0	2	2	1	0	0
gga-miR-6662	0	0	0	0	0	1	0	0	0	0	0	0
gga-miR-193b	106	58	299	393	152	277	200	228	128	37	205	304
gga-miR-365b	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6650	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-3532	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6642	0	1	0	1	0	0	0	0	0	0	0	1
gga-miR-1756a	58	17	48	33	127	81	36	41	25	24	74	24
gga-miR-6616	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-101	100534	16529	44927	32870	80152	74755	48837	38237	25802	29117	81177	51372
gga-miR-21	29423	10176	35106	41735	40420	45278	71001	32041	17331	16394	27001	29832
gga-miR-1768	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7479	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-455	52	18	43	47	61	94	39	47	35	6	34	97
gga-miR-215	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1747	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6560	0	0	0	0	0	0	0	0	0	0	2	0
gga-miR-6590	1	0	1	0	1	3	0	1	2	1	0	3
gga-miR-302c	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6571	0	0	0	0	0	0	0	0	0	0	0	0
