gene_id,UP_90_10_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_11_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_12_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_1_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_2_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_3_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_4_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_5_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_6_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_7_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_8_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_9_IonXpressRNA.Aligned.sortedByCoord.out
ENSGALG00000029653,293,311,221,366,164,875,326,138,351,242,273,226
ENSGALG00000029652,1142,1873,810,2135,904,2539,1729,850,2367,971,1610,1450
ENSGALG00000029657,383,752,332,200,138,296,124,145,296,292,229,392
ENSGALG00000029659,33,26,14,40,38,56,38,3,24,16,28,6
ENSGALG00000014277,327,384,174,143,199,1403,223,184,311,248,85,142
ENSGALG00000014276,648,1324,836,1243,447,2311,798,680,915,530,692,820
ENSGALG00000008376,651,1277,717,1170,370,2043,806,527,987,448,869,815
ENSGALG00000008370,697,937,721,1261,482,1960,799,740,944,388,717,1094
ENSGALG00000008373,225,170,120,376,83,620,264,251,323,87,258,260
ENSGALG00000008372,2809,3898,1989,4416,1855,7158,3190,2356,3837,1577,3047,3249
ENSGALG00000008378,3484,3788,1629,3468,2424,6810,3115,2243,4830,2477,2456,2796
ENSGALG00000050226,22,58,20,34,18,39,30,9,49,39,19,17
ENSGALG00000050227,0,1,0,1,0,0,0,0,1,1,1,2
ENSGALG00000050224,0,0,0,1,0,0,0,0,0,0,0,0
ENSGALG00000050225,9,7,14,18,6,5,3,1,18,8,16,11
ENSGALG00000000102,395,795,405,397,254,570,263,305,488,349,309,504
ENSGALG00000050223,32,22,22,49,18,93,51,11,32,1,37,28
ENSGALG00000050220,1,1,1,1,1,1,2,0,0,0,1,1
ENSGALG00000050221,0,0,0,1,1,0,1,0,1,0,1,0
ENSGALG00000050228,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000050229,284,590,212,219,137,397,173,137,352,280,249,307
ENSGALG00000009428,1817,3031,1440,2446,1236,4223,1569,1768,2815,1331,2078,2025
ENSGALG00000009429,60,93,49,46,8,325,16,28,94,34,20,54
ENSGALG00000009422,974,1211,744,1103,385,3005,869,744,768,488,809,1110
ENSGALG00000009421,791,917,488,1203,578,1454,914,998,1563,981,928,976
ENSGALG00000009426,1174,2103,963,2720,1047,3608,1483,1087,1932,965,1545,1200
ENSGALG00000009427,1077,1717,894,1864,683,3822,1677,939,1574,720,1181,1220
ENSGALG00000009424,87,140,91,205,56,322,179,24,235,56,89,101
ENSGALG00000011735,21,57,7,21,10,174,11,1,18,9,23,1
ENSGALG00000011734,21,28,19,9,17,78,3,1,23,36,3,14
ENSGALG00000011739,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000011738,921,1405,705,1495,893,5448,1107,739,1832,1288,789,753
ENSGALG00000031021,83,130,57,221,84,401,131,193,170,47,118,169
ENSGALG00000037124,0,2,0,2,0,1,0,1,1,0,1,0
ENSGALG00000031024,5,17,1,9,0,4,0,0,0,2,4,9
ENSGALG00000006627,18,21,0,20,4,89,13,15,8,11,0,6
ENSGALG00000006626,238,347,303,591,76,350,292,75,123,160,407,186
ENSGALG00000006623,7441,12259,6117,10031,4708,16208,6804,5848,12383,6242,7871,8483
ENSGALG00000006622,352,648,407,701,217,1008,366,230,413,329,408,393
ENSGALG00000006629,2,28,5,10,22,22,23,0,7,6,11,4
ENSGALG00000008591,435,889,358,1268,346,1489,949,573,791,344,927,809
ENSGALG00000008590,5858,12900,6577,8930,4553,21518,6087,5801,7346,5362,6078,7305
ENSGALG00000008593,197,305,167,116,89,156,54,167,285,149,100,267
ENSGALG00000008595,1978,2941,1535,3472,1048,6028,2068,1569,2761,1043,1688,2049
ENSGALG00000008597,1160,3096,1217,852,869,2080,1102,1423,1643,1015,1011,1735
ENSGALG00000008599,12,22,0,4,7,111,11,0,0,3,9,11
ENSGALG00000050914,7,21,9,35,2,38,9,1,11,8,20,19
