gene_id,UP_90_10_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_11_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_12_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_1_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_2_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_3_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_4_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_5_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_6_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_7_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_8_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out,UP_90_9_IonXpressRNA_trimmq20.Aligned.sortedByCoord.out
ENSGALG00000029653,202,201,151,156,40,450,198,62,225,98,124,139
ENSGALG00000029652,653,1146,500,866,320,1301,1070,498,1511,259,521,845
ENSGALG00000029657,267,519,241,86,78,169,92,95,215,137,78,281
ENSGALG00000029659,17,21,10,6,14,24,29,0,18,4,11,4
ENSGALG00000014277,197,244,123,54,68,726,116,106,213,85,26,75
ENSGALG00000014276,390,804,525,478,178,1132,537,395,592,165,239,478
ENSGALG00000008376,433,872,525,486,166,1113,556,314,664,177,256,552
ENSGALG00000008370,438,680,521,467,239,988,564,448,659,189,249,632
ENSGALG00000008373,151,119,81,111,25,366,184,162,120,40,71,171
ENSGALG00000008372,1748,2452,1315,1540,600,3466,1877,1321,2400,527,893,1922
ENSGALG00000008378,2309,2602,1138,1526,978,3743,2056,1100,3161,1055,936,1722
ENSGALG00000050226,14,26,18,12,14,25,9,5,24,10,8,9
ENSGALG00000050227,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000050224,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000050225,8,2,10,14,1,4,4,1,14,5,5,9
ENSGALG00000000102,233,538,235,153,89,278,176,176,329,117,104,286
ENSGALG00000050223,26,11,15,23,5,49,39,5,28,0,13,17
ENSGALG00000050220,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000050221,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000050228,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000050229,217,416,154,88,75,227,145,85,259,137,88,208
ENSGALG00000009428,1162,1962,987,972,454,2149,989,969,1802,492,696,1242
ENSGALG00000009429,32,61,25,9,4,173,4,2,61,12,6,22
ENSGALG00000009422,602,773,499,422,157,1582,526,394,499,181,261,687
ENSGALG00000009421,503,559,329,438,192,761,563,592,1006,352,323,582
ENSGALG00000009426,760,1415,687,1021,420,1978,882,593,1337,388,511,737
ENSGALG00000009427,655,1067,584,641,240,1889,980,496,934,287,386,720
ENSGALG00000009424,52,104,68,77,24,141,95,13,103,22,14,51
ENSGALG00000011735,16,37,4,7,3,81,7,0,14,5,3,0
ENSGALG00000011734,16,12,10,1,9,44,3,0,12,16,2,7
ENSGALG00000011739,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000011738,614,894,493,620,327,2824,687,424,1190,431,293,490
ENSGALG00000031021,48,86,45,74,20,137,75,105,136,12,29,100
ENSGALG00000049778,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000031024,0,9,0,0,0,4,0,0,0,0,0,3
ENSGALG00000006627,12,11,0,0,4,52,0,6,0,0,0,8
ENSGALG00000006626,146,197,195,216,12,150,163,32,60,29,111,95
ENSGALG00000006623,4625,7434,3986,3666,1699,7995,3966,3273,8222,2195,2583,5111
ENSGALG00000006622,233,382,251,274,87,536,232,97,260,103,151,256
ENSGALG00000006629,0,14,5,5,0,0,0,0,0,4,6,0
ENSGALG00000008591,266,519,235,549,91,633,584,297,476,62,203,482
ENSGALG00000008590,3265,7503,3990,2911,1356,10389,3369,2947,4426,1731,1764,4033
ENSGALG00000008593,127,205,96,39,29,86,31,74,170,53,25,167
ENSGALG00000008595,1296,1921,1055,1338,400,3134,1327,1018,1896,441,607,1344
ENSGALG00000008597,667,1828,755,327,320,965,662,884,1090,378,267,999
ENSGALG00000008599,6,11,0,0,3,52,6,0,0,0,0,7
ENSGALG00000050914,0,12,9,9,0,23,3,4,3,3,7,8
ENSGALG00000050915,0,5,0,1,0,11,1,1,16,2,1,2
ENSGALG00000050916,8,10,0,12,10,14,16,15,0,0,0,3
ENSGALG00000050917,1,1,0,1,0,1,1,0,2,1,1,1
ENSGALG00000050910,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000050911,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000050912,2,10,0,0,0,0,0,0,0,3,0,0
ENSGALG00000050913,0,0,0,6,0,0,0,0,0,0,3,0
ENSGALG00000050918,1,1,1,0,0,1,4,0,1,0,0,0
ENSGALG00000050919,1518,800,14,3,566,43,0,441,64,932,5,326
ENSGALG00000007579,221,237,151,91,96,1305,164,104,322,109,61,90
ENSGALG00000007572,564,1113,439,450,218,1120,642,507,1224,427,282,656
ENSGALG00000007570,8,13,0,16,2,2,1,0,0,0,0,0
ENSGALG00000007575,1125,1663,1025,1217,413,2382,1592,897,987,272,689,1565
ENSGALG00000054219,12,8,0,0,4,2,0,0,0,0,4,0
ENSGALG00000054218,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000006198,769,795,296,242,293,1122,575,620,1345,190,156,792
ENSGALG00000054213,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054212,424,1247,666,232,230,762,521,620,1140,267,200,542
ENSGALG00000054211,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000006194,75,139,55,79,38,61,62,48,219,75,54,124
ENSGALG00000054217,1,0,0,0,0,2,0,0,0,0,0,0
ENSGALG00000054216,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054215,0,0,0,0,0,0,0,0,0,0,0,0
