mirna_name	target.gene_name	diana	microinspector	miranda	mirtarget2	mitarget	nbmirtar	pictar	pita	rna22	rnahybrid	targetscan
gga-miR-1782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gga-miR-3533	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gga-miR-3607-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gga-miR-1747-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gga-miR-18a-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gga-miR-1559-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gga-miR-140-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gga-miR-190a-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gga-miR-460a-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gga-miR-1552-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gga-miR-551-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gga-miR-1467-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gga-miR-1720-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gga-miR-3529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gga-miR-194	STMN1	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	CFL2	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	GABPB2	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	SH3GLB2	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	PNRC2	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	BECN1	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	HIBADH	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	RAB5A	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	TSSC4	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	TOLLIP	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	TTC7B	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	RNF11	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	GYG1	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	HP1BP3	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	RCJMB04_1h13	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	PAIP2	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	PRKAR1A	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	SKP2	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	EHMT1	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	FAM129A	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	CTDSPL2	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	RCJMB04_5a10	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	RCJMB04_3o20	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	ITGA9	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	PSMA2	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	SNAP91	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	FBXO22	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	KIAA1191	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	RCJMB04_17n19	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	DLD	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	ORC5L	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	RCJMB04_20b4	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	MDM1	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	RCJMB04_4k2	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	RCJMB04_11o5	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	ANKRD10	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	NUPL1	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	NADK	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	PAFAH1B2	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	TP53INP1	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	CCDC127	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	RCJMB04_2f12	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	USP45	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	RCJMB04_2p4	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	RCJMB04_9o17	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	TMEM22	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	CERK	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	ARSK	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	SUDS3	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	PTDSS1	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	DCLRE1C	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	RCJMB04_16j10	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	SS18	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	CBLN4	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	WRB	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	WDR68	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	PRC1	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	RCJMB04_9c4	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	CHRDL1	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	SPIN	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	HIF1A	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	IRF4	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	KIT	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	BUB1B	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	LOC395077	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	ST3GAL2	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	RARRES1	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	IL6	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	SPIN1	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	SALL1	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	EYA2	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	EPHA5	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	NTRK3	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	MMP16	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	GCG	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	MYH11	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	BTG1	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	TCF12	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	ATP2B2	0	0	1	1	0	0	0	0	0	1	0
gga-miR-194	LOC768699	0	0	1	1	0	0	0	0	0	1	0
